ticket_id,order_id,customer_id,driver_id,restaurant_id,agent_id,reason_id,priority_id,channel_id,status,refund_amount,created_at,first_response_at,resolved_at,sla_first_due_at,sla_resolve_due_at
b296b0e0-babb-45ef-98ef-f8afef937beb,8c9aea1d-255f-49f3-a749-794cec4bec5a,307,54,10.0,4,3,4,4,Resolved,0.0,2026-02-22 10:44:05,2026-02-22 10:53:39,2026-02-22 10:57:39,2026-02-22 10:45:05,2026-02-22 10:59:05
5f57e182-174b-45f1-beaa-723dde3fb49f,89286f16-91b6-47a0-95e7-8afc2aca0e17,43,11,27.0,19,8,1,4,Resolved,0.0,2026-02-22 11:46:24,2026-02-22 11:50:24,2026-02-22 11:59:24,2026-02-22 11:47:24,2026-02-22 12:01:24
31b0e0b2-6a09-42a1-b690-4472a28c5d30,b08b9786-245b-4027-8ff8-2cbad97dc46b,348,82,4.0,3,2,3,2,Closed,0.0,2026-02-22 09:54:03,2026-02-22 10:01:14,2026-02-22 10:42:03,2026-02-22 09:55:03,2026-02-22 10:09:03
cf4bf421-3ec3-48cc-8a88-d2cc09dcfa02,e9450c2e-c722-4349-a480-2b804462d922,417,3,58.0,4,10,2,4,Resolved,118.74,2026-02-22 09:48:04,2026-02-22 09:48:57,2026-02-22 09:52:04,2026-02-22 09:49:04,2026-02-22 10:03:04
c0b1c4bd-455a-4226-8798-a6e648c5c72b,7e0d271c-4553-4eaf-abe6-a0b602d1ebda,492,40,36.0,3,5,4,3,Resolved,370.3,2026-02-22 10:01:26,2026-02-22 10:06:59,2026-02-22 10:09:26,2026-02-22 10:02:26,2026-02-22 10:16:26
25a86b6c-6a7a-4cc5-8981-98134b57ab0c,a6177cf8-1729-4b6b-8a98-841076272788,321,37,20.0,28,9,3,1,Closed,0.0,2026-02-22 10:10:52,2026-02-22 10:13:29,2026-02-22 10:20:52,2026-02-22 10:11:52,2026-02-22 10:25:52
c205683c-6145-4080-90ff-7e9c71377116,3ce017f7-6e00-459b-8896-75b9d6ca2c36,127,64,19.0,7,3,2,4,Closed,0.0,2026-02-22 10:44:15,2026-02-22 10:45:07,2026-02-22 11:31:15,2026-02-22 10:45:15,2026-02-22 10:59:15
a378df5a-cc43-4319-b784-b8cc20454301,0642fb72-45a2-4ab1-b9ff-75987b39ea1c,56,53,1.0,11,6,2,4,Resolved,0.0,2026-02-22 11:22:43,2026-02-22 11:25:33,2026-02-22 11:28:43,2026-02-22 11:23:43,2026-02-22 11:37:43
c5923302-b660-41ce-b3ad-ac413f7ef234,763d08dc-899c-48b6-8b3c-b4169ba5edd4,419,83,23.0,12,7,3,2,Closed,0.0,2026-02-22 10:54:26,2026-02-22 10:55:20,2026-02-22 11:15:26,2026-02-22 10:55:26,2026-02-22 11:09:26
26e46fd8-7ea6-4aae-a69a-7c6d0e6fe689,fc3f8828-3974-464e-80fa-bebe4a7496f2,444,38,55.0,17,4,3,4,Closed,51.75,2026-02-22 10:48:28,2026-02-22 10:48:39,2026-02-22 10:53:28,2026-02-22 10:49:28,2026-02-22 11:03:28
